indicator_value,indicator_type,threat_name,description,confidence,date_added,references,tags
"HKLM\Software\Microsoft\Windows\CurrentVersion\Run",registry_key,Grandoreiro,"Clave de registro para persistencia a nivel de máquina",High,2023-01-01,Fragment 8,"registry;persistence;autorun;T1547.001"
"HKCU\Software\Microsoft\Windows\CurrentVersion\Run",registry_key,Grandoreiro,"Clave de registro para persistencia a nivel de usuario",High,2023-01-01,Fragment 8,"registry;persistence;autorun;T1547.001"
"HKCU\Software\<Nombres Cambiantes>",registry_key,Grandoreiro,"Almacenamiento de configuración con nombres variables",High,2023-01-01,Fragment 14,"registry;configuration;dynamic"
"Software\Clients\Mail",registry_key,Grandoreiro,"Clave verificada para detectar Microsoft Outlook",Medium,2023-01-01,Fragment 9,"registry;reconnaissance;outlook"
"kitbootnetsuuui.exe",file,Grandoreiro,"Ejecutable legítimo (Advanced Installer Intune Tool) utilizado para side-loading",High,2025-05-01,"Análisis de Inteligencia de Amenazas","legitimate;executable;side_loading;T1574.002"
"dbghelp.dll (>100MB)",file,Grandoreiro,"DLL maliciosa de Grandoreiro inflada artificialmente para evadir escáneres de AV",High,2025-05-01,"Análisis de Inteligencia de Amenazas","malware;dll;binary_padding;evasion;T1027"
"C:\BridgeRefsessionRuntimemonitor\",directory,DCRat,"Directorio usado por DCRat para almacenar archivos maliciosos",High,2025-05-01,"Análisis de Inteligencia de Amenazas","file_system;storage;payload;DCRat"
"C:\BridgeRefsessionRuntimemonitor\lsass.exe",file,DCRat,"Ejecutable malicioso que suplanta al legítimo lsass.exe del sistema",High,2025-05-01,"Análisis de Inteligencia de Amenazas","malware;executable;masquerading;T1036.005"
"C:\Program Files (x86)\LiteManager Pro - Server\",directory,LiteManager,"Directorio de instalación del software de acceso remoto utilizado maliciosamente",High,2025-05-01,"Análisis de Inteligencia de Amenazas","remote_access;legitimate_software;abuse;T1219"
"C:\Program Files (x86)\LiteManager Pro - Server\ROMServer.exe",file,LiteManager,"Ejecutable principal del software de acceso remoto LiteManager",High,2025-05-01,"Análisis de Inteligencia de Amenazas","remote_access;executable;T1219"
"tiempo.nist.gov",network_artifact,Grandoreiro,"Servidor NTP consultado para obtener fecha para algoritmo DGA",Medium,2025-05-01,"Análisis de Inteligencia de Amenazas","network;ntp;dga;seed_generation"
"http://ip-api.com/json",network_artifact,Grandoreiro,"Servicio web consultado para obtener geolocalización de la víctima",High,2025-05-01,"Análisis de Inteligencia de Amenazas","network;geolocation;victim_filtering;T1614"
"https://dns.google/resolve?name=",network_artifact,Grandoreiro,"Uso de DNS sobre HTTPS para resolver dominios C2 eludiendo bloqueos DNS",High,2025-05-01,"Análisis de Inteligencia de Amenazas","network;dns_over_https;evasion;T1071.004"
"DDMMYYYY",mutex_pattern,Grandoreiro,"Patrón de mutex basado en fecha actual para prevenir múltiples instancias",Medium,2025-05-01,"Análisis de Inteligencia de Amenazas","mutex;execution_control;date_based"
"Global\IB2405",mutex,Grandoreiro,"Mutex específico de la campaña IB2405",High,2025-05-01,"Análisis de Inteligencia de Amenazas","mutex;campaign_specific;IB2405"
"VALUEDATE06THSWIFT-C4000-SE0392-A3O11-Y59300-J9002-V50000-SE3922.pdf.html",file,HTMLPhisher,"Archivo HTML malicioso que simula ser un PDF para phishing",High,2025-05-01,"Análisis de Inteligencia de Amenazas","phishing;masquerading;html_phisher;T1566.002"
