indicator_value,indicator_type,threat_name,description,confidence,date_added,references,tags
"Binary padding evasion",feature_abuse,Grandoreiro,"Inflado artificial de archivos maliciosos (particularmente DLL) hasta más de 300MB mediante la inserción de datos no funcionales para evadir escaneo de antivirus y análisis automático que imponen límites de tamaño",High,2024-03-01,,"binary_padding;av_evasion;file_size;analysis_evasion;T1027"
"Multi-layer string encryption",feature_abuse,Grandoreiro,"Implementación de esquemas de cifrado complejos de múltiples etapas (hasta 6 capas) incluyendo Base64, codificaciones personalizadas, PRNG, XOR y AES-256 para ocultar cadenas críticas incluyendo dominios C2 y listas de bancos objetivo",High,2024-03-01,,"string_encryption;obfuscation;cryptography;defense_evasion;T1027"
"Outlook automailer abuse",feature_abuse,Grandoreiro,"Funcionalidad específica para interactuar con Microsoft Outlook para desactivar alertas de seguridad y utilizar la cuenta de la víctima para enviar correos de phishing adicionales, facilitando la autopropagación",High,2024-03-01,,"outlook;email;propagation;security_bypass;T1114.001;spreading"
"DGA with date-seeded algorithms",feature_abuse,Grandoreiro,"Implementación de Algoritmos de Generación de Dominios que utilizan la fecha actual como semilla para generar dinámicamente posibles dominios C2, dificultando el bloqueo basado en listas de dominios conocidos",High,2024-03-01,,"dga;domain_generation;c2;resilience;evasion;T1568.002"
"Geolocation filtering",feature_abuse,Grandoreiro,"Consulta a servicios de geolocalización legítimos (ip-api.com) para determinar la ubicación geográfica de la víctima y alterar el comportamiento basado en región, incluyendo selección de C2, targeting específico y evasión de regiones conocidas de investigadores",High,2024-03-01,,"geolocation;targeting;evasion;reconnaissance;T1614;legitimate_service"
"Campaign-specific mutex patterns",feature_abuse,Grandoreiro,"Uso de patrones de mutex específicos de campaña (Global\\IB2405) y basados en fecha (DDMMYYYY) para prevenir múltiples instancias del malware y rastrear infecciones por campaña",High,2025-05-01,"Análisis de Inteligencia de Amenazas","mutex;infection_tracking;campaign_specific;IB2405;MVfc"
"NTP time server abuse",feature_abuse,Grandoreiro,"Consulta a servidores NTP legítimos (time.nist.gov) para obtener hora precisa utilizada como semilla para algoritmos de generación de dominios, asegurando sincronización entre víctimas y operadores",High,2025-05-01,"Análisis de Inteligencia de Amenazas","ntp;legitimate_service;dga;seed_generation;T1124"
"Browser cookie theft",feature_abuse,Grandoreiro,"Extracción y abuso de cookies de sesión de navegadores para mantener acceso persistente a cuentas bancarias sin necesidad de nuevas credenciales",High,2025-05-01,"Análisis de Inteligencia de Amenazas","browser;cookies;session_hijacking;banking;persistence;T1185"
"Fake PDF HTML technique",feature_abuse,Grandoreiro,"Uso de archivos HTML maliciosos que simulan ser PDFs con nombres elaborados que sugieren contenido financiero (ej. VALUEDATE06THSWIFT-C4000-SE0392-A3O11-Y59300-J9002-V50000-SE3922.pdf.html)",High,2025-05-01,"Análisis de Inteligencia de Amenazas","phishing;social_engineering;file_masquerading;pdf_spoofing;T1566.002"
"Form data exfiltration service abuse",feature_abuse,Grandoreiro,"Abuso de servicios legítimos de recolección de formularios (formspark.io, submit-form.com) para exfiltrar credenciales robadas sin necesidad de infraestructura propia",High,2025-05-01,"Análisis de Inteligencia de Amenazas","exfiltration;legitimate_service;form_services;credential_theft;T1567"
"Remote access software abuse",feature_abuse,Grandoreiro,"Instalación y configuración maliciosa de software legítimo de acceso remoto (LiteManager) para obtener control persistente del sistema comprometido",High,2025-05-01,"Análisis de Inteligencia de Amenazas","remote_access;legitimate_software;persistent_access;T1219"
"Window title monitoring",feature_abuse,Grandoreiro,"Monitoreo continuo de títulos de ventana en primer plano para detectar aplicaciones bancarias específicas y activar inyecciones de código malicioso contextual",High,2025-05-01,"Análisis de Inteligencia de Amenazas","banking_trojan;application_discovery;contextual_injection;T1010"
"Dynamic C2 port derivation",technique,Grandoreiro,"Técnica avanzada donde el puerto C2 se deriva dinámicamente mapeando los dígitos de la dirección IP resuelta, dificultando el bloqueo basado en puertos",Medium,2025-05-01,"Análisis de Inteligencia de Amenazas","c2;port_obfuscation;dynamic_configuration;T1571"
